Councils,Type,Months,Years,ESB_Connections
Dun Laoghaire,County,Jun,2013,13
Fingal,County,Jun,2013,22
Galway,County,Jun,2013,21
Kerry,County,Jun,2013,25
Kildare,County,Jun,2013,33
Kilkenny,County,Jun,2013,21
Laois,County,Jun,2013,8
Leitrim,County,Jun,2013,3
Limerick,County,Jun,2013,14
Longford,County,Jun,2013,2
Louth,County,Jun,2013,52
Mayo,County,Jun,2013,23
Meath,County,Jun,2013,18
Monaghan,County,Jun,2013,9
North Tipperary,County,Jun,2013,4
Offaly,County,Jun,2013,13
Roscommon,County,Jun,2013,10
Sligo,County,Jun,2013,10
South Dublin,County,Jun,2013,14
South Tipperary,County,Jun,2013,4
Waterford,County,Jun,2013,12
Westmeath,County,Jun,2013,10
Wexford,County,Jun,2013,25
Wicklow,County,Jun,2013,24
Carlow,County,Jul,2013,21
Cavan,County,Jul,2013,15
Clare,County,Jul,2013,19
Cork,County,Jul,2013,86
Donegal,County,Jul,2013,29
Dun Laoghaire,County,Jul,2013,10
Fingal,County,Jul,2013,55
Galway,County,Jul,2013,37
Kerry,County,Jul,2013,38
Kildare,County,Jul,2013,37
Kilkenny,County,Jul,2013,21
Laois,County,Jul,2013,19
Leitrim,County,Jul,2013,6
Limerick,County,Jul,2013,15
Longford,County,Jul,2013,15
Louth,County,Jul,2013,40
Mayo,County,Jul,2013,23
Meath,County,Jul,2013,21
Monaghan,County,Jul,2013,6
North Tipperary,County,Jul,2013,9
Offaly,County,Jul,2013,5
Roscommon,County,Jul,2013,9
Sligo,County,Jul,2013,7
South Dublin,County,Jul,2013,11
South Tipperary,County,Jul,2013,5
Waterford,County,Jul,2013,7
Westmeath,County,Jul,2013,14
Wexford,County,Jul,2013,26
Wicklow,County,Jul,2013,26
Carlow,County,Aug,2013,5
Cavan,County,Aug,2013,16
Clare,County,Aug,2013,14
Cork,County,Aug,2013,77
Donegal,County,Aug,2013,33
Dun Laoghaire,County,Aug,2013,17
Fingal,County,Aug,2013,14
Galway,County,Aug,2013,23
Kerry,County,Aug,2013,22
Kildare,County,Aug,2013,53
Kilkenny,County,Aug,2013,14
Laois,County,Aug,2013,15
Leitrim,County,Aug,2013,8
Limerick,County,Aug,2013,13
Longford,County,Aug,2013,10
Louth,County,Aug,2013,14
Mayo,County,Aug,2013,24
Meath,County,Aug,2013,21
Monaghan,County,Aug,2013,15
North Tipperary,County,Aug,2013,15
Offaly,County,Aug,2013,10
Roscommon,County,Aug,2013,6
Sligo,County,Aug,2013,15
South Dublin,County,Aug,2013,18
South Tipperary,County,Aug,2013,12
Waterford,County,Aug,2013,14
Westmeath,County,Aug,2013,13
Wexford,County,Aug,2013,20
Wicklow,County,Aug,2013,17
Carlow,County,Sept,2013,28
Cavan,County,Sept,2013,11
Clare,County,Sept,2013,13
Cork,County,Sept,2013,82
Donegal,County,Sept,2013,35
Dun Laoghaire,County,Sept,2013,13
Fingal,County,Sept,2013,30
Galway,County,Sept,2013,49
Kerry,County,Sept,2013,31
Kildare,County,Sept,2013,33
Kilkenny,County,Sept,2013,13
Laois,County,Sept,2013,6
Leitrim,County,Sept,2013,9
Limerick,County,Sept,2013,16
Longford,County,Sept,2013,6
Louth,County,Sept,2013,30
Mayo,County,Sept,2013,20
Meath,County,Sept,2013,15
Monaghan,County,Sept,2013,20
North Tipperary,County,Sept,2013,14
Offaly,County,Sept,2013,7
Roscommon,County,Sept,2013,25
Sligo,County,Sept,2013,13
South Dublin,County,Sept,2013,13
South Tipperary,County,Sept,2013,10
Waterford,County,Sept,2013,13
Westmeath,County,Sept,2013,17
Wexford,County,Sept,2013,38
Wicklow,County,Sept,2013,20
Carlow,County,Oct,2013,14
Cavan,County,Oct,2013,11
Clare,County,Oct,2013,19
Cork,County,Oct,2013,81
Donegal,County,Oct,2013,42
Dun Laoghaire,County,Oct,2013,49
Fingal,County,Oct,2013,33
Galway,County,Oct,2013,56
Kerry,County,Oct,2013,44
Kildare,County,Oct,2013,47
Kilkenny,County,Oct,2013,16
Laois,County,Oct,2013,19
Leitrim,County,Oct,2013,2
Limerick,County,Oct,2013,35
Longford,County,Oct,2013,8
Louth,County,Oct,2013,20
Mayo,County,Oct,2013,33
Meath,County,Oct,2013,23
Monaghan,County,Oct,2013,15
North Tipperary,County,Oct,2013,11
Offaly,County,Oct,2013,15
Roscommon,County,Oct,2013,13
Sligo,County,Oct,2013,13
South Dublin,County,Oct,2013,32
South Tipperary,County,Oct,2013,11
Waterford,County,Oct,2013,9
Westmeath,County,Oct,2013,13
Wexford,County,Oct,2013,25
Wicklow,County,Oct,2013,15
Carlow,County,Nov,2013,14
Cavan,County,Nov,2013,14
Clare,County,Nov,2013,26
Cork,County,Nov,2013,90
Donegal,County,Nov,2013,41
Dun Laoghaire,County,Nov,2013,56
Fingal,County,Nov,2013,54
Galway,County,Nov,2013,42
Kerry,County,Nov,2013,29
Kildare,County,Nov,2013,34
Kilkenny,County,Nov,2013,21
Laois,County,Nov,2013,27
Leitrim,County,Nov,2013,10
Limerick,County,Nov,2013,24
Longford,County,Nov,2013,9
Louth,County,Nov,2013,23
Mayo,County,Nov,2013,39
Meath,County,Nov,2013,27
Monaghan,County,Nov,2013,22
North Tipperary,County,Nov,2013,13
Offaly,County,Nov,2013,15
Roscommon,County,Nov,2013,22
Sligo,County,Nov,2013,14
South Dublin,County,Nov,2013,38
South Tipperary,County,Nov,2013,17
Waterford,County,Nov,2013,10
Westmeath,County,Nov,2013,16
Wexford,County,Nov,2013,47
Wicklow,County,Nov,2013,23
Carlow,County,Dec,2013,16
Cavan,County,Dec,2013,21
Clare,County,Dec,2013,20
Cork,County,Dec,2013,67
Donegal,County,Dec,2013,28
Dun Laoghaire,County,Dec,2013,54
Fingal,County,Dec,2013,43
Galway,County,Dec,2013,28
Kerry,County,Dec,2013,33
Kildare,County,Dec,2013,34
Kilkenny,County,Dec,2013,13
Laois,County,Dec,2013,26
Leitrim,County,Dec,2013,8
Limerick,County,Dec,2013,21
Longford,County,Dec,2013,5
Louth,County,Dec,2013,32
Mayo,County,Dec,2013,50
Meath,County,Dec,2013,32
Monaghan,County,Dec,2013,20
North Tipperary,County,Dec,2013,16
Offaly,County,Dec,2013,6
Roscommon,County,Dec,2013,17
Sligo,County,Dec,2013,23
South Dublin,County,Dec,2013,38
South Tipperary,County,Dec,2013,14
Waterford,County,Dec,2013,11
Westmeath,County,Dec,2013,11
Wexford,County,Dec,2013,32
Wicklow,County,Dec,2013,15
Cork,City,Jan,2006,39
Dublin,City,Jan,2006,757
Galway,City,Jan,2006,68
Limerick,City,Jan,2006,19
Waterford,City,Jan,2006,69
Cork,City,Feb,2006,22
Dublin,City,Feb,2006,618
Galway,City,Feb,2006,107
Limerick,City,Feb,2006,10
Waterford,City,Feb,2006,33
Cork,City,Mar,2006,93
Dublin,City,Mar,2006,560
Galway,City,Mar,2006,57
Limerick,City,Mar,2006,80
Waterford,City,Mar,2006,91
Cork,City,Apr,2006,31
Dublin,City,Apr,2006,225
Galway,City,Apr,2006,72
Limerick,City,Apr,2006,32
Waterford,City,Apr,2006,34
Cork,City,May,2006,162
Dublin,City,May,2006,496
Galway,City,May,2006,199
Limerick,City,May,2006,17
Waterford,City,May,2006,63
Cork,City,Jun,2006,110
Dublin,City,Jun,2006,717
Galway,City,Jun,2006,75
Limerick,City,Jun,2006,22
Waterford,City,Jun,2006,68
Cork,City,Jul,2006,57
Dublin,City,Jul,2006,685
Galway,City,Jul,2006,48
Limerick,City,Jul,2006,17
Waterford,City,Jul,2006,116
Cork,City,Aug,2006,141
Dublin,City,Aug,2006,783
Galway,City,Aug,2006,55
Limerick,City,Aug,2006,11
Waterford,City,Aug,2006,82
Cork,City,Sept,2006,96
Dublin,City,Sept,2006,847
Galway,City,Sept,2006,229
Limerick,City,Sept,2006,40
Waterford,City,Sept,2006,42
Cork,City,Oct,2006,103
Dublin,City,Oct,2006,690
Galway,City,Oct,2006,137
Limerick,City,Oct,2006,12
Waterford,City,Oct,2006,82
Cork,City,Nov,2006,108
Dublin,City,Nov,2006,755
Galway,City,Nov,2006,142
Limerick,City,Nov,2006,50
Waterford,City,Nov,2006,85
Cork,City,Dec,2006,103
Dublin,City,Dec,2006,613
Galway,City,Dec,2006,86
Limerick,City,Dec,2006,79
Waterford,City,Dec,2006,63
Cork,City,Jan,2007,83
Dublin,City,Jan,2007,446
Galway,City,Jan,2007,23
Limerick,City,Jan,2007,43
Waterford,City,Jan,2007,17
Cork,City,Feb,2007,123
Dublin,City,Feb,2007,562
Galway,City,Feb,2007,142
Limerick,City,Feb,2007,52
Waterford,City,Feb,2007,79
Cork,City,Mar,2007,168
Dublin,City,Mar,2007,677
Galway,City,Mar,2007,73
Limerick,City,Mar,2007,59
Waterford,City,Mar,2007,13
Cork,City,Apr,2007,99
Dublin,City,Apr,2007,273
Galway,City,Apr,2007,24
Limerick,City,Apr,2007,3
Waterford,City,Apr,2007,18
Cork,City,May,2007,87
Dublin,City,May,2007,674
Galway,City,May,2007,39
Limerick,City,May,2007,23
Waterford,City,May,2007,12
Cork,City,Jun,2007,158
Dublin,City,Jun,2007,418
Galway,City,Jun,2007,73
Limerick,City,Jun,2007,6
Waterford,City,Jun,2007,59
Cork,City,Jul,2007,85
Dublin,City,Jul,2007,454
Galway,City,Jul,2007,91
Limerick,City,Jul,2007,37
Waterford,City,Jul,2007,55
Cork,City,Aug,2007,58
Dublin,City,Aug,2007,606
Galway,City,Aug,2007,47
Limerick,City,Aug,2007,11
Waterford,City,Aug,2007,50
Cork,City,Sept,2007,76
Dublin,City,Sept,2007,491
Galway,City,Sept,2007,31
Limerick,City,Sept,2007,5
Waterford,City,Sept,2007,15
Cork,City,Oct,2007,52
Dublin,City,Oct,2007,832
Galway,City,Oct,2007,54
Limerick,City,Oct,2007,44
Waterford,City,Oct,2007,16
Cork,City,Nov,2007,62
Dublin,City,Nov,2007,849
Galway,City,Nov,2007,54
Limerick,City,Nov,2007,46
Waterford,City,Nov,2007,17
Cork,City,Dec,2007,158
Dublin,City,Dec,2007,396
Galway,City,Dec,2007,81
Limerick,City,Dec,2007,5
Waterford,City,Dec,2007,89
Cork,City,Jan,2008,44
Dublin,City,Jan,2008,402
Galway,City,Jan,2008,13
Limerick,City,Jan,2008,59
Waterford,City,Jan,2008,90
Cork,City,Feb,2008,29
Dublin,City,Feb,2008,451
Galway,City,Feb,2008,25
Limerick,City,Feb,2008,31
Waterford,City,Feb,2008,26
Cork,City,Mar,2008,150
Dublin,City,Mar,2008,520
Galway,City,Mar,2008,27
Limerick,City,Mar,2008,70
Waterford,City,Mar,2008,32
Cork,City,Apr,2008,31
Dublin,City,Apr,2008,402
Galway,City,Apr,2008,64
Limerick,City,Apr,2008,96
Waterford,City,Apr,2008,10
Cork,City,May,2008,93
Dublin,City,May,2008,554
Galway,City,May,2008,32
Limerick,City,May,2008,29
Waterford,City,May,2008,7
Cork,City,Jun,2008,188
Dublin,City,Jun,2008,489
Galway,City,Jun,2008,74
Limerick,City,Jun,2008,21
Waterford,City,Jun,2008,21
Cork,City,Jul,2008,94
Dublin,City,Jul,2008,470
Galway,City,Jul,2008,70
Limerick,City,Jul,2008,7
Waterford,City,Jul,2008,47
Cork,City,Aug,2008,131
Dublin,City,Aug,2008,387
Galway,City,Aug,2008,20
Limerick,City,Aug,2008,0
Waterford,City,Aug,2008,6
Cork,City,Sept,2008,52
Dublin,City,Sept,2008,533
Galway,City,Sept,2008,77
Limerick,City,Sept,2008,8
Waterford,City,Sept,2008,28
Cork,City,Oct,2008,45
Dublin,City,Oct,2008,350
Galway,City,Oct,2008,52
Limerick,City,Oct,2008,19
Waterford,City,Oct,2008,11
Cork,City,Nov,2008,42
Dublin,City,Nov,2008,614
Galway,City,Nov,2008,46
Limerick,City,Nov,2008,14
Waterford,City,Nov,2008,4
Cork,City,Dec,2008,102
Dublin,City,Dec,2008,176
Galway,City,Dec,2008,45
Limerick,City,Dec,2008,11
Waterford,City,Dec,2008,15
Cork,City,Jan,2009,104
Dublin,City,Jan,2009,150
Galway,City,Jan,2009,37
Limerick,City,Jan,2009,13
Waterford,City,Jan,2009,24
Cork,City,Feb,2009,64
Dublin,City,Feb,2009,370
Galway,City,Feb,2009,8
Limerick,City,Feb,2009,10
Waterford,City,Feb,2009,15
Cork,City,Mar,2009,50
Dublin,City,Mar,2009,136
Galway,City,Mar,2009,7
Limerick,City,Mar,2009,15
Waterford,City,Mar,2009,21
Cork,City,Apr,2009,77
Dublin,City,Apr,2009,299
Galway,City,Apr,2009,13
Limerick,City,Apr,2009,15
Waterford,City,Apr,2009,11
Cork,City,May,2009,72
Dublin,City,May,2009,118
Galway,City,May,2009,29
Limerick,City,May,2009,3
Waterford,City,May,2009,20
Cork,City,Jun,2009,31
Dublin,City,Jun,2009,168
Galway,City,Jun,2009,27
Limerick,City,Jun,2009,4
Waterford,City,Jun,2009,12
Cork,City,Jul,2009,75
Dublin,City,Jul,2009,220
Galway,City,Jul,2009,19
Limerick,City,Jul,2009,3
Waterford,City,Jul,2009,12
Cork,City,Aug,2009,11
Dublin,City,Aug,2009,296
Galway,City,Aug,2009,2
Limerick,City,Aug,2009,0
Waterford,City,Aug,2009,4
Cork,City,Sept,2009,95
Dublin,City,Sept,2009,113
Galway,City,Sept,2009,27
Limerick,City,Sept,2009,11
Waterford,City,Sept,2009,18
Cork,City,Oct,2009,30
Dublin,City,Oct,2009,260
Galway,City,Oct,2009,5
Limerick,City,Oct,2009,1
Waterford,City,Oct,2009,2
Cork,City,Nov,2009,21
Dublin,City,Nov,2009,136
Galway,City,Nov,2009,19
Limerick,City,Nov,2009,6
Waterford,City,Nov,2009,7
Cork,City,Dec,2009,36
Dublin,City,Dec,2009,129
Galway,City,Dec,2009,6
Limerick,City,Dec,2009,12
Waterford,City,Dec,2009,0
Cork,City,Jan,2010,19
Dublin,City,Jan,2010,119
Galway,City,Jan,2010,5
Limerick,City,Jan,2010,2
Waterford,City,Jan,2010,3
Cork,City,Feb,2010,8
Dublin,City,Feb,2010,113
Galway,City,Feb,2010,5
Limerick,City,Feb,2010,3
Waterford,City,Feb,2010,4
Cork,City,Mar,2010,4
Dublin,City,Mar,2010,80
Galway,City,Mar,2010,4
Limerick,City,Mar,2010,2
Waterford,City,Mar,2010,2
Cork,City,Apr,2010,15
Dublin,City,Apr,2010,56
Galway,City,Apr,2010,2
Limerick,City,Apr,2010,2
Waterford,City,Apr,2010,1
Cork,City,May,2010,21
Dublin,City,May,2010,74
Galway,City,May,2010,7
Limerick,City,May,2010,2
Waterford,City,May,2010,3
Cork,City,Jun,2010,32
Dublin,City,Jun,2010,56
Galway,City,Jun,2010,10
Limerick,City,Jun,2010,7
Waterford,City,Jun,2010,4
Cork,City,Jul,2010,15
Dublin,City,Jul,2010,55
Galway,City,Jul,2010,6
Limerick,City,Jul,2010,10
Waterford,City,Jul,2010,1
Cork,City,Aug,2010,26
Dublin,City,Aug,2010,25
Galway,City,Aug,2010,4
Limerick,City,Aug,2010,1
Waterford,City,Aug,2010,11
Cork,City,Sept,2010,14
Dublin,City,Sept,2010,59
Galway,City,Sept,2010,10
Limerick,City,Sept,2010,9
Waterford,City,Sept,2010,2
Cork,City,Oct,2010,24
Dublin,City,Oct,2010,68
Galway,City,Oct,2010,2
Limerick,City,Oct,2010,2
Waterford,City,Oct,2010,40
Cork,City,Nov,2010,25
Dublin,City,Nov,2010,151
Galway,City,Nov,2010,11
Limerick,City,Nov,2010,2
Waterford,City,Nov,2010,33
Cork,City,Dec,2010,39
Dublin,City,Dec,2010,55
Galway,City,Dec,2010,11
Limerick,City,Dec,2010,2
Waterford,City,Dec,2010,6
Cork,City,Jan,2011,2
Dublin,City,Jan,2011,82
Galway,City,Jan,2011,11
Limerick,City,Jan,2011,0
Waterford,City,Jan,2011,41
Cork,City,Feb,2011,15
Dublin,City,Feb,2011,32
Galway,City,Feb,2011,12
Limerick,City,Feb,2011,2
Waterford,City,Feb,2011,5
Cork,City,Mar,2011,12
Dublin,City,Mar,2011,60
Galway,City,Mar,2011,6
Limerick,City,Mar,2011,4
Waterford,City,Mar,2011,10
Cork,City,Apr,2011,14
Dublin,City,Apr,2011,47
Galway,City,Apr,2011,10
Limerick,City,Apr,2011,3
Waterford,City,Apr,2011,2
Cork,City,May,2011,10
Dublin,City,May,2011,75
Galway,City,May,2011,5
Limerick,City,May,2011,1
Waterford,City,May,2011,6
Cork,City,Jun,2011,5
Dublin,City,Jun,2011,46
Galway,City,Jun,2011,6
Limerick,City,Jun,2011,0
Waterford,City,Jun,2011,2
Cork,City,Jul,2011,24
Dublin,City,Jul,2011,25
Galway,City,Jul,2011,1
Limerick,City,Jul,2011,11
Waterford,City,Jul,2011,3
Cork,City,Aug,2011,12
Dublin,City,Aug,2011,21
Galway,City,Aug,2011,0
Limerick,City,Aug,2011,10
Waterford,City,Aug,2011,3
Cork,City,Sept,2011,5
Dublin,City,Sept,2011,23
Galway,City,Sept,2011,8
Limerick,City,Sept,2011,5
Waterford,City,Sept,2011,5
Cork,City,Oct,2011,14
Dublin,City,Oct,2011,46
Galway,City,Oct,2011,1
Limerick,City,Oct,2011,1
Waterford,City,Oct,2011,4
Cork,City,Nov,2011,9
Dublin,City,Nov,2011,48
Galway,City,Nov,2011,6
Limerick,City,Nov,2011,3
Waterford,City,Nov,2011,1
Cork,City,Dec,2011,5
Dublin,City,Dec,2011,52
Galway,City,Dec,2011,6
Limerick,City,Dec,2011,3
Waterford,City,Dec,2011,2
Cork,City,Jan,2012,5
Dublin,City,Jan,2012,53
Galway,City,Jan,2012,1
Limerick,City,Jan,2012,1
Waterford,City,Jan,2012,6
Cork,City,Feb,2012,13
Dublin,City,Feb,2012,15
Galway,City,Feb,2012,0
Limerick,City,Feb,2012,0
Waterford,City,Feb,2012,2
Cork,City,Mar,2012,11
Dublin,City,Mar,2012,47
Galway,City,Mar,2012,2
Limerick,City,Mar,2012,1
Waterford,City,Mar,2012,7
Cork,City,Apr,2012,14
Dublin,City,Apr,2012,24
Galway,City,Apr,2012,3
Limerick,City,Apr,2012,3
Waterford,City,Apr,2012,4
Cork,City,May,2012,43
Dublin,City,May,2012,48
Galway,City,May,2012,2
Limerick,City,May,2012,13
Waterford,City,May,2012,3
Cork,City,Jun,2012,19
Dublin,City,Jun,2012,16
Galway,City,Jun,2012,3
Limerick,City,Jun,2012,1
Waterford,City,Jun,2012,3
Cork,City,Jul,2012,31
Dublin,City,Jul,2012,31
Galway,City,Jul,2012,7
Limerick,City,Jul,2012,2
Waterford,City,Jul,2012,1
Cork,City,Aug,2012,49
Dublin,City,Aug,2012,80
Galway,City,Aug,2012,4
Limerick,City,Aug,2012,13
Waterford,City,Aug,2012,8
Cork,City,Sept,2012,24
Dublin,City,Sept,2012,38
Galway,City,Sept,2012,1
Limerick,City,Sept,2012,6
Waterford,City,Sept,2012,3
Cork,City,Oct,2012,11
Dublin,City,Oct,2012,31
Galway,City,Oct,2012,3
Limerick,City,Oct,2012,34
Waterford,City,Oct,2012,6
Cork,City,Nov,2012,18
Dublin,City,Nov,2012,71
Galway,City,Nov,2012,2
Limerick,City,Nov,2012,9
Waterford,City,Nov,2012,4
Cork,City,Dec,2012,10
Dublin,City,Dec,2012,53
Galway,City,Dec,2012,4
Limerick,City,Dec,2012,16
Waterford,City,Dec,2012,8
Cork,City,Jan,2013,3
Dublin,City,Jan,2013,34
Galway,City,Jan,2013,6
Limerick,City,Jan,2013,10
Waterford,City,Jan,2013,3
Cork,City,Feb,2013,19
Dublin,City,Feb,2013,47
Galway,City,Feb,2013,3
Limerick,City,Feb,2013,3
Waterford,City,Feb,2013,1
Cork,City,Mar,2013,15
Dublin,City,Mar,2013,26
Galway,City,Mar,2013,3
Limerick,City,Mar,2013,5
Waterford,City,Mar,2013,5
Cork,City,Apr,2013,36
Dublin,City,Apr,2013,40
Galway,City,Apr,2013,5
Limerick,City,Apr,2013,2
Waterford,City,Apr,2013,7
Cork,City,May,2013,10
Dublin,City,May,2013,19
Galway,City,May,2013,27
Limerick,City,May,2013,5
Waterford,City,May,2013,3
Cork,City,Jun,2013,49
Dublin,City,Jun,2013,106
Galway,City,Jun,2013,3
Limerick,City,Jun,2013,2
Waterford,City,Jun,2013,4
Cork,City,Jul,2013,14
Dublin,City,Jul,2013,50
Galway,City,Jul,2013,7
Limerick,City,Jul,2013,0
Waterford,City,Jul,2013,2
Cork,City,Aug,2013,7
Dublin,City,Aug,2013,34
Galway,City,Aug,2013,3
Limerick,City,Aug,2013,3
Waterford,City,Aug,2013,9
Cork,City,Sept,2013,4
Dublin,City,Sept,2013,28
Galway,City,Sept,2013,2
Limerick,City,Sept,2013,2
Waterford,City,Sept,2013,7
Cork,City,Oct,2013,43
Dublin,City,Oct,2013,38
Galway,City,Oct,2013,1
Limerick,City,Oct,2013,3
Waterford,City,Oct,2013,16
Cork,City,Nov,2013,22
Dublin,City,Nov,2013,34
Galway,City,Nov,2013,8
Limerick,City,Nov,2013,32
Waterford,City,Nov,2013,5
Cork,City,Dec,2013,16
Dublin,City,Dec,2013,46
Galway,City,Dec,2013,15
Limerick,City,Dec,2013,39
Waterford,City,Dec,2013,26
