Councils,Type,Months,Years,ESB_Connections
Mayo,County,Mar,2007,235
Meath,County,Mar,2007,285
Monaghan,County,Mar,2007,94
North Tipperary,County,Mar,2007,87
Offaly,County,Mar,2007,92
Roscommon,County,Mar,2007,119
Sligo,County,Mar,2007,136
South Dublin,County,Mar,2007,272
South Tipperary,County,Mar,2007,145
Waterford,County,Mar,2007,93
Westmeath,County,Mar,2007,112
Wexford,County,Mar,2007,210
Wicklow,County,Mar,2007,132
Carlow,County,Apr,2007,101
Cavan,County,Apr,2007,142
Clare,County,Apr,2007,192
Cork,County,Apr,2007,597
Donegal,County,Apr,2007,380
Dun Laoghaire,County,Apr,2007,204
Fingal,County,Apr,2007,449
Galway,County,Apr,2007,264
Kerry,County,Apr,2007,249
Kildare,County,Apr,2007,305
Kilkenny,County,Apr,2007,121
Laois,County,Apr,2007,157
Leitrim,County,Apr,2007,118
Limerick,County,Apr,2007,122
Longford,County,Apr,2007,136
Louth,County,Apr,2007,99
Mayo,County,Apr,2007,190
Meath,County,Apr,2007,287
Monaghan,County,Apr,2007,49
North Tipperary,County,Apr,2007,70
Offaly,County,Apr,2007,77
Roscommon,County,Apr,2007,137
Sligo,County,Apr,2007,153
South Dublin,County,Apr,2007,277
South Tipperary,County,Apr,2007,129
Waterford,County,Apr,2007,57
Westmeath,County,Apr,2007,120
Wexford,County,Apr,2007,236
Wicklow,County,Apr,2007,129
Carlow,County,May,2007,176
Cavan,County,May,2007,260
Clare,County,May,2007,188
Cork,County,May,2007,654
Donegal,County,May,2007,295
Dun Laoghaire,County,May,2007,221
Fingal,County,May,2007,351
Galway,County,May,2007,325
Kerry,County,May,2007,257
Kildare,County,May,2007,277
Kilkenny,County,May,2007,111
Laois,County,May,2007,209
Leitrim,County,May,2007,60
Limerick,County,May,2007,258
Longford,County,May,2007,142
Louth,County,May,2007,93
Mayo,County,May,2007,144
Meath,County,May,2007,226
Monaghan,County,May,2007,95
North Tipperary,County,May,2007,101
Offaly,County,May,2007,86
Roscommon,County,May,2007,128
Sligo,County,May,2007,96
South Dublin,County,May,2007,416
South Tipperary,County,May,2007,65
Waterford,County,May,2007,99
Westmeath,County,May,2007,124
Wexford,County,May,2007,403
Wicklow,County,May,2007,137
Carlow,County,Jun,2007,97
Cavan,County,Jun,2007,153
Clare,County,Jun,2007,159
Cork,County,Jun,2007,576
Donegal,County,Jun,2007,400
Dun Laoghaire,County,Jun,2007,273
Fingal,County,Jun,2007,446
Galway,County,Jun,2007,272
Kerry,County,Jun,2007,209
Kildare,County,Jun,2007,217
Kilkenny,County,Jun,2007,77
Laois,County,Jun,2007,133
Leitrim,County,Jun,2007,86
Limerick,County,Jun,2007,179
Longford,County,Jun,2007,97
Louth,County,Jun,2007,110
Mayo,County,Jun,2007,230
Meath,County,Jun,2007,265
Monaghan,County,Jun,2007,127
North Tipperary,County,Jun,2007,85
Offaly,County,Jun,2007,111
Roscommon,County,Jun,2007,134
Sligo,County,Jun,2007,74
South Dublin,County,Jun,2007,147
South Tipperary,County,Jun,2007,80
Waterford,County,Jun,2007,87
Westmeath,County,Jun,2007,134
Wexford,County,Jun,2007,296
Wicklow,County,Jun,2007,96
Carlow,County,Jul,2007,89
Cavan,County,Jul,2007,86
Clare,County,Jul,2007,163
Cork,County,Jul,2007,416
Donegal,County,Jul,2007,264
Dun Laoghaire,County,Jul,2007,204
Fingal,County,Jul,2007,345
Galway,County,Jul,2007,223
Kerry,County,Jul,2007,180
Kildare,County,Jul,2007,221
Kilkenny,County,Jul,2007,124
Laois,County,Jul,2007,141
Leitrim,County,Jul,2007,71
Limerick,County,Jul,2007,102
Longford,County,Jul,2007,148
Louth,County,Jul,2007,99
Mayo,County,Jul,2007,154
Meath,County,Jul,2007,155
Monaghan,County,Jul,2007,57
North Tipperary,County,Jul,2007,54
Offaly,County,Jul,2007,79
Roscommon,County,Jul,2007,76
Sligo,County,Jul,2007,66
South Dublin,County,Jul,2007,377
South Tipperary,County,Jul,2007,64
Waterford,County,Jul,2007,84
Westmeath,County,Jul,2007,80
Wexford,County,Jul,2007,144
Wicklow,County,Jul,2007,74
Carlow,County,Aug,2007,61
Cavan,County,Aug,2007,227
Clare,County,Aug,2007,151
Cork,County,Aug,2007,550
Donegal,County,Aug,2007,284
Dun Laoghaire,County,Aug,2007,269
Fingal,County,Aug,2007,329
Galway,County,Aug,2007,223
Kerry,County,Aug,2007,262
Kildare,County,Aug,2007,194
Kilkenny,County,Aug,2007,144
Laois,County,Aug,2007,137
Leitrim,County,Aug,2007,91
Limerick,County,Aug,2007,165
Longford,County,Aug,2007,65
Louth,County,Aug,2007,151
Mayo,County,Aug,2007,170
Meath,County,Aug,2007,180
Monaghan,County,Aug,2007,95
North Tipperary,County,Aug,2007,95
Offaly,County,Aug,2007,120
Roscommon,County,Aug,2007,116
Sligo,County,Aug,2007,72
South Dublin,County,Aug,2007,196
South Tipperary,County,Aug,2007,63
Waterford,County,Aug,2007,99
Westmeath,County,Aug,2007,143
Wexford,County,Aug,2007,303
Wicklow,County,Aug,2007,176
Carlow,County,Sept,2007,72
Cavan,County,Sept,2007,214
Clare,County,Sept,2007,161
Cork,County,Sept,2007,550
Donegal,County,Sept,2007,423
Dun Laoghaire,County,Sept,2007,422
Fingal,County,Sept,2007,419
Galway,County,Sept,2007,243
Kerry,County,Sept,2007,206
Kildare,County,Sept,2007,296
Kilkenny,County,Sept,2007,76
Laois,County,Sept,2007,136
Leitrim,County,Sept,2007,73
Limerick,County,Sept,2007,146
Longford,County,Sept,2007,126
Louth,County,Sept,2007,173
Mayo,County,Sept,2007,161
Meath,County,Sept,2007,144
Monaghan,County,Sept,2007,129
North Tipperary,County,Sept,2007,101
Offaly,County,Sept,2007,119
Roscommon,County,Sept,2007,140
Sligo,County,Sept,2007,101
South Dublin,County,Sept,2007,310
South Tipperary,County,Sept,2007,93
Waterford,County,Sept,2007,110
Westmeath,County,Sept,2007,183
Wexford,County,Sept,2007,260
Wicklow,County,Sept,2007,157
Carlow,County,Oct,2007,59
Cavan,County,Oct,2007,162
Clare,County,Oct,2007,255
Cork,County,Oct,2007,731
Donegal,County,Oct,2007,358
Dun Laoghaire,County,Oct,2007,282
Fingal,County,Oct,2007,414
Galway,County,Oct,2007,430
Kerry,County,Oct,2007,187
Kildare,County,Oct,2007,315
Kilkenny,County,Oct,2007,124
Laois,County,Oct,2007,214
Leitrim,County,Oct,2007,64
Limerick,County,Oct,2007,267
Longford,County,Oct,2007,167
Louth,County,Oct,2007,180
Mayo,County,Oct,2007,231
Meath,County,Oct,2007,168
Monaghan,County,Oct,2007,83
North Tipperary,County,Oct,2007,77
Offaly,County,Oct,2007,100
Roscommon,County,Oct,2007,139
Sligo,County,Oct,2007,120
South Dublin,County,Oct,2007,222
South Tipperary,County,Oct,2007,162
Waterford,County,Oct,2007,142
Westmeath,County,Oct,2007,188
Wexford,County,Oct,2007,356
Wicklow,County,Oct,2007,202
Carlow,County,Nov,2007,62
Cavan,County,Nov,2007,181
Clare,County,Nov,2007,258
Cork,County,Nov,2007,756
Donegal,County,Nov,2007,372
Dun Laoghaire,County,Nov,2007,291
Fingal,County,Nov,2007,426
Galway,County,Nov,2007,457
Kerry,County,Nov,2007,193
Kildare,County,Nov,2007,322
Kilkenny,County,Nov,2007,132
Laois,County,Nov,2007,217
Leitrim,County,Nov,2007,69
Limerick,County,Nov,2007,277
Longford,County,Nov,2007,172
Louth,County,Nov,2007,188
Mayo,County,Nov,2007,244
Meath,County,Nov,2007,196
Monaghan,County,Nov,2007,84
North Tipperary,County,Nov,2007,80
Offaly,County,Nov,2007,101
Roscommon,County,Nov,2007,145
Sligo,County,Nov,2007,126
South Dublin,County,Nov,2007,230
South Tipperary,County,Nov,2007,170
Waterford,County,Nov,2007,145
Westmeath,County,Nov,2007,193
Wexford,County,Nov,2007,364
Wicklow,County,Nov,2007,217
Carlow,County,Dec,2007,106
Cavan,County,Dec,2007,219
Clare,County,Dec,2007,203
Cork,County,Dec,2007,628
Donegal,County,Dec,2007,353
Dun Laoghaire,County,Dec,2007,312
Fingal,County,Dec,2007,244
Galway,County,Dec,2007,294
Kerry,County,Dec,2007,265
Kildare,County,Dec,2007,167
Kilkenny,County,Dec,2007,181
Laois,County,Dec,2007,203
Leitrim,County,Dec,2007,65
Limerick,County,Dec,2007,327
Longford,County,Dec,2007,120
Louth,County,Dec,2007,140
Mayo,County,Dec,2007,232
Meath,County,Dec,2007,163
Monaghan,County,Dec,2007,78
North Tipperary,County,Dec,2007,116
Offaly,County,Dec,2007,133
Roscommon,County,Dec,2007,81
Sligo,County,Dec,2007,116
South Dublin,County,Dec,2007,270
South Tipperary,County,Dec,2007,83
Waterford,County,Dec,2007,140
Westmeath,County,Dec,2007,116
Wexford,County,Dec,2007,213
Wicklow,County,Dec,2007,132
Carlow,County,Jan,2008,44
Cavan,County,Jan,2008,124
Clare,County,Jan,2008,100
Cork,County,Jan,2008,421
Donegal,County,Jan,2008,155
Dun Laoghaire,County,Jan,2008,335
Fingal,County,Jan,2008,204
Galway,County,Jan,2008,188
Kerry,County,Jan,2008,94
Kildare,County,Jan,2008,176
Kilkenny,County,Jan,2008,147
Laois,County,Jan,2008,94
Leitrim,County,Jan,2008,44
Limerick,County,Jan,2008,115
Longford,County,Jan,2008,76
Louth,County,Jan,2008,143
Mayo,County,Jan,2008,122
Meath,County,Jan,2008,207
Monaghan,County,Jan,2008,105
North Tipperary,County,Jan,2008,54
Offaly,County,Jan,2008,134
Roscommon,County,Jan,2008,196
Sligo,County,Jan,2008,117
South Dublin,County,Jan,2008,262
South Tipperary,County,Jan,2008,96
Waterford,County,Jan,2008,107
Westmeath,County,Jan,2008,108
Wexford,County,Jan,2008,159
Wicklow,County,Jan,2008,123
Carlow,County,Feb,2008,61
Cavan,County,Feb,2008,90
Clare,County,Feb,2008,152
Cork,County,Feb,2008,515
Donegal,County,Feb,2008,297
Dun Laoghaire,County,Feb,2008,230
Fingal,County,Feb,2008,205
Galway,County,Feb,2008,210
Kerry,County,Feb,2008,197
Kildare,County,Feb,2008,140
Kilkenny,County,Feb,2008,127
Laois,County,Feb,2008,160
Leitrim,County,Feb,2008,65
Limerick,County,Feb,2008,181
Longford,County,Feb,2008,54
Louth,County,Feb,2008,160
Mayo,County,Feb,2008,201
Meath,County,Feb,2008,128
Monaghan,County,Feb,2008,88
